id,observed_on_string,observed_on,time_observed_at,time_zone,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,private_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
1090934,2014-09-08,2014-09-08,,Guam,,59408,ashleychantelle,2014-11-24 04:11:08 UTC,2014-11-30 22:40:45 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1090934,https://static.inaturalist.org/photos/1371291/medium.jpg?1416803411,,"",trail behind ALS,false,2,0,false,,"Mangilao, Guam",13.448889,144.800278,,,,,,,,false,,"",Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219
1090935,2014-09-08,2014-09-08,,Guam,,59408,ashleychantelle,2014-11-24 04:11:10 UTC,2016-07-29 12:10:50 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/1090935,https://static.inaturalist.org/photos/1371312/medium.jpg?1416803766,,"",trail behind ALS,false,2,0,false,,"Mangilao, Guam",13.448889,144.800278,,,,,,,,false,,"",Potter Wasps,Eumeninae,Potter and Mason Wasps,Insecta,119344
1090936,2014-09-01,2014-09-01,,Guam,,59408,ashleychantelle,2014-11-24 04:11:13 UTC,2018-11-03 06:26:35 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1090936,https://static.inaturalist.org/photos/1371308/medium.jpg?1416803686,,"",trail behind ALS,false,2,0,false,,"Mangilao, Guam",13.448889,144.800278,,,,,,,,false,,"",Protaetia pryeri,Protaetia pryeri,,Insecta,338693
1090937,2014-09-15,2014-09-15,,Guam,,59408,ashleychantelle,2014-11-24 04:11:16 UTC,2014-12-18 04:07:56 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/1090937,,,"",trail behind ALS,false,0,0,false,,"Mangilao, Guam",13.448889,144.800278,,,,,,,,false,,"",Coleoptera,Coleoptera,Beetles,Insecta,47208
1090938,2014-10-14,2014-10-14,,Guam,,59408,ashleychantelle,2014-11-24 04:11:18 UTC,2018-07-15 07:21:20 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/1090938,https://static.inaturalist.org/photos/1371299/medium.jpg?1416803526,,"",trail behind ALS,false,1,0,false,,"Mangilao, Guam",13.448889,144.800278,,,,,,,,false,,"",Blue-banded King Crow,Euploea eunice,Blue-banded King Crow Butterfly,Insecta,358893
1090939,2014-09-18,2014-09-18,,Guam,,59408,ashleychantelle,2014-11-24 04:11:21 UTC,2014-11-24 04:33:18 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/1090939,https://static.inaturalist.org/photos/1371301/medium.jpg?1416803599,,"",trail behind ALS,false,0,0,false,,"Mangilao, Guam",13.448889,144.800278,,,,,,,,false,,"",Lepidoptera,Lepidoptera,Butterflies and Moths,Insecta,47157
1090940,2014-09-09,2014-09-09,,Guam,,59408,ashleychantelle,2014-11-24 04:11:24 UTC,2018-07-15 07:21:03 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/1090940,https://static.inaturalist.org/photos/1371330/medium.jpg?1416804055,,"",9th floor Ladera Towers,false,2,0,false,,"Mangilao, Guam",13.448889,144.800278,,,,,,,,false,,"",Sphinx Moths,Sphingidae,Sphinx Moths,Insecta,47213
1090941,2014-09-09,2014-09-09,,Guam,,59408,ashleychantelle,2014-11-24 04:11:27 UTC,2014-12-18 04:05:55 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/1090941,https://static.inaturalist.org/photos/1384974/medium.jpg?1417276556,,"",9th floor Ladera Towers,false,0,0,false,,"Mangilao, Guam",13.448889,144.800278,,,,,,,,false,,"",Elateridae,Elateridae,Click Beetles,Insecta,53248
1104734,2014-11-13,2014-11-13,,Guam,,59411,samfrias21,2014-12-01 02:47:34 UTC,2018-07-15 07:23:25 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/1104734,https://static.inaturalist.org/photos/1388943/medium.JPG?1417402062,,"","",false,1,0,false,,University of Guam ,13.430318,144.800441,8,,,,,,,false,,,Blue-banded King Crow,Euploea eunice,Blue-banded King Crow Butterfly,Insecta,358893
1104792,2014-09-05,2014-09-05,,Guam,,59411,samfrias21,2014-12-01 03:04:22 UTC,2018-12-21 19:05:15 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1104792,https://static.inaturalist.org/photos/1389008/medium.JPG?1417403068,,"","",false,2,0,false,,Astumbo Fire Station,13.557793,144.843772,209,,,,,,,false,,,Coconut Rhinoceros Beetle,Oryctes rhinoceros,Coconut Rhinoceros Beetle,Insecta,320058
