dataset_doi	dataset_key	dataset_title	dataset_citation	number_records
10.15468/h37nwv	d185ab72-3518-4cb8-b9ad-79010d6eef70	Invertebrata varia (Luomus)		1
10.5281/zenodo.5159791	7f2d2fe5-8875-4048-9191-b6ef16320fdb	New Longicorn Beetles From Guam (Cerambycidae)	Gressitt, J. Linsley (1942): New Longicorn Beetles From Guam (Cerambycidae). In: Insects of Guam I. Honolulu, Hawaii: Bernice P. Bishop Museum: 61-64, DOI: http://doi.org/10.5281/zenodo.5159791	60
10.5281/zenodo.5159455	cadac5b6-f94f-4a2c-bf21-9e41c1f153fc	Ciidae of Guam	Zimmerman, Elwood C. (1942): Ciidae of Guam. In: Insects of Guam-I. Honolulu, Hawaii: Bernice P. Bishop Museum: 47-52, DOI: http://doi.org/10.5281/zenodo.5159455	5
10.5281/zenodo.5159743	38b66f4f-97ce-4458-822b-c6c3dcff3ba7	Membracidae of Guam	Swezey, O. H. (1942): Membracidae of Guam. In: Insects of Guam I. Honolulu, Hawaii: Bernice P, Bishop Museum: 19, DOI: http://doi.org/10.5281/zenodo.5159743	15
10.15468/efb17f	84ab7b76-f762-11e1-a439-00145eb45e9a	C.A. Triplehorn Insect Collection (OSUC), Ohio State University		20
10.5281/zenodo.5167701	5f279ac2-63c6-4bd8-be9e-0e3d82b73ab2	Miscellaneous Families of Guam Coleoptera	Swezey, O. H. (1942): Miscellaneous Families of Guam Coleoptera. In: Insects of Guam I. Honolulu, Hawaii: Bernice P. Bishop Museum: 150-171, DOI: http://doi.org/10.5281/zenodo.5167701	491
10.5281/zenodo.5169330	11d04f7a-e744-4ac9-b0af-3cbf68f8cc92	Hymenoptera, New Species Of Guam Chalcidoidea	Fullaway, D. T. (1946): Hymenoptera, New Species Of Guam Chalcidoidea. In: Insects of Guam II. Honolulu, Hawaii: Bernice P. Bishop Museum: 201-210, DOI: http://doi.org/10.5281/zenodo.5169330	22
10.15468/bmfgag	6c032b27-e4fe-4bc9-8f11-6b5f864910ce	Cleveland Museum of Natural History	Johnson N (2019): Cleveland Museum of Natural History. v1.0. Museum of Biological Diversity, The Ohio State University. Dataset/Occurrence. https://hymfiles.asc.ohio-state.edu/ipt/resource?r=cmnh&v=1.0	1
10.15468/0ywfpc	7931dcab-94f1-46ce-8092-56e4335423de	Field Museum of Natural History (Zoology) Insect, Arachnid and Myriapod Collection		8
10.5281/zenodo.5159964	d0309e8b-3179-4162-946c-08cef1c82013	Curculionidae of Guam	Zimmerman, Elwood C. (1942): Curculionidae of Guam. In: Insects of Guam I. Honolulu, Hawaii: Bernice P. Bishop Museum: 73-146, DOI: http://doi.org/10.5281/zenodo.5159964	246
